Year,Team,Player,Position,Contract,Status
2013,Arizona Cardinals,Fitzgerald,WR,"$10,250,000",Active
2013,Arizona Cardinals,Campbell,DE,"$8,750,000",Active
2013,Arizona Cardinals,Dockett,DE,"$7,700,000",Active
2013,Arizona Cardinals,Colledge,G,"$7,275,000",Active
2013,Arizona Cardinals,Kolb,QB,"$6,000,000",Active
2013,Arizona Cardinals,Peterson,CB,"$5,026,227",Active
2013,Arizona Cardinals,Palmer,QB,"$4,000,000",Active
2013,Arizona Cardinals,Sendlein,C,"$3,675,000",Active
2013,Arizona Cardinals,Brown,LT,"$3,539,044",Active
2013,Arizona Cardinals,Bradley,ILB,"$3,000,000",Active
2013,Arizona Cardinals,Washington,ILB,"$2,854,044",Active
2013,Arizona Cardinals,Cooper,G,"$2,645,273",IR
2013,Arizona Cardinals,Mendenhall,RB,"$2,500,000",Active
2013,Arizona Cardinals,Floyd,WR,"$2,266,250",Active
2013,Arizona Cardinals,Dansby,ILB,"$2,250,000",Active
2013,Arizona Cardinals,Williams,DT,"$2,105,000",Active
2013,Arizona Cardinals,Feely,K,"$2,050,000",Active
2013,Arizona Cardinals,Powers,CB,"$2,000,000",Active
2013,Arizona Cardinals,Winston,RT,"$2,000,000",Active
2013,Arizona Cardinals,Wilson,S,"$1,925,000",Active
2013,Arizona Cardinals,King,TE,"$1,883,334",Active
2013,Arizona Cardinals,Stanton,QB,"$1,666,667",Active
2013,Arizona Cardinals,Abraham,OLB,"$1,600,000",Active
2013,Arizona Cardinals,Zastudil,P,"$1,575,000",Active
2013,Arizona Cardinals,Roberts,WR,"$1,504,050",Active
2013,Arizona Cardinals,Cason,CB,"$1,500,000",Active
2013,Arizona Cardinals,Williams,RB,"$1,365,663",Active
2013,Arizona Cardinals,Brinkley,ILB,"$1,300,000",Active
2013,Arizona Cardinals,Alexander,OLB,"$1,165,000",IR
2013,Arizona Cardinals,Johnson,FS,"$1,133,333",Active
2013,Arizona Cardinals,Leach,LS,"$1,091,666",Active
2013,Arizona Cardinals,Shaughnessy,DE,"$1,000,000",Active
2013,Arizona Cardinals,Snyder,G,"$1,000,000",Active
2013,Arizona Cardinals,Wells,RB,"$962,500",Active
2013,Arizona Cardinals,Housler,TE,"$816,023",Active
2013,Arizona Cardinals,Minter,ILB,"$798,236",Active
2013,Arizona Cardinals,Gibson,C,"$715,000",Active
2013,Arizona Cardinals,Sperry,TE,"$715,000",Active
2013,Arizona Cardinals,Fanaika,G,"$680,000",Active
2013,Arizona Cardinals,Acho,OLB,"$673,607",IR
2013,Arizona Cardinals,Arenas,CB,"$645,000",Active
2013,Arizona Cardinals,Dray,TE,"$642,250",Active
2013,Arizona Cardinals,Bell,S,"$635,000",Active
2013,Arizona Cardinals,Rucker,DE,"$620,000",Active
2013,Arizona Cardinals,Massie,RT,"$590,845",Active
2013,Arizona Cardinals,Mathieu,FS,"$570,625",IR
2013,Arizona Cardinals,Smith,RB,"$555,000",Active
2013,Arizona Cardinals,Talley,DE,"$555,000",Active
2013,Arizona Cardinals,Watford,G,"$513,716",Active
2013,Arizona Cardinals,Bethel,CB,"$508,556",Active
2013,Atlanta Falcons,Ryan,QB,"$9,600,000",Active
2013,Atlanta Falcons,White,WR,"$9,125,000",Active
2013,Atlanta Falcons,Blalock,G,"$7,660,000",Active
2013,Atlanta Falcons,Robinson,CB,"$5,800,000",Active
2013,Atlanta Falcons,Samuel,CB,"$5,700,000",Active
2013,Atlanta Falcons,Gonzalez,TE,"$5,250,000",Active
2013,Atlanta Falcons,Babineaux,DT,"$5,200,000",Active
2013,Atlanta Falcons,Edwards,DE,"$4,650,000",Active
2013,Atlanta Falcons,Jones,WR,"$4,413,750",IR
2013,Atlanta Falcons,Moore,SS,"$3,900,000",Active
2013,Atlanta Falcons,Umenyiora,OLB,"$3,750,000",Active
2013,Atlanta Falcons,Nicholas,OLB,"$3,500,000",Active
2013,Atlanta Falcons,Biermann,OLB,"$3,433,333",IR
2013,Atlanta Falcons,Baker,LT,"$3,000,000",Active
2013,Atlanta Falcons,Bryant,K,"$2,962,500",Active
2013,Atlanta Falcons,Jackson,RB,"$2,916,666",Active
2013,Atlanta Falcons,Douglas,WR,"$2,645,833",Active
2013,Atlanta Falcons,DeCoud,S,"$2,500,000",Active
2013,Atlanta Falcons,Weatherspoon,ILB,"$2,348,750",Active
2013,Atlanta Falcons,Jerry,DT,"$2,010,000",Active
2013,Atlanta Falcons,Turner,RB,"$2,000,000",Active
2013,Atlanta Falcons,Clabo,RT,"$1,550,000",Active
2013,Atlanta Falcons,Peters,DT,"$1,514,750",IR
2013,Atlanta Falcons,Abraham,OLB,"$1,500,000",Active
2013,Atlanta Falcons,Trufant,CB,"$1,484,745",Active
2013,Atlanta Falcons,Snelling,RB,"$1,208,333",Active
2013,Atlanta Falcons,Reynolds,G,"$1,065,000",Active
2013,Atlanta Falcons,Konz,C,"$815,591",Active
2013,Atlanta Falcons,Johnson,RT,"$790,554",IR
2013,Atlanta Falcons,Dent,ILB,"$760,725",Active
2013,Atlanta Falcons,Hawley,C,"$750,795",Active
2013,Atlanta Falcons,Smith,RB,"$662,500",Active
2013,Atlanta Falcons,Coffman,TE,"$630,000",Active
2013,Atlanta Falcons,Franks,CB,"$630,000",Active
2013,Atlanta Falcons,Alford,CB,"$618,436",Active
2013,Atlanta Falcons,Holmes,RT,"$613,400",Active
2013,Atlanta Falcons,Rodgers,RB,"$602,750",Active
