season,team,losses,ties,wins,made_playoffs,playoff_losses,playoff_wins
2013,ARI,6,0,10,1,0.0,0.0
2013,ATL,12,0,4,1,0.0,0.0
2013,BAL,8,0,8,1,0.0,0.0
2013,BUF,10,0,6,1,0.0,0.0
2013,CAR,4,0,12,1,1.0,0.0
2013,CHI,8,0,8,1,0.0,0.0
2013,CIN,5,0,11,1,1.0,0.0
2013,CLE,12,0,4,1,0.0,0.0
2013,DAL,8,0,8,1,0.0,0.0
2013,DEN,3,0,13,1,1.0,2.0
2013,DET,9,0,7,1,0.0,0.0
2013,GB,7,1,8,1,1.0,0.0
2013,HOU,14,0,2,1,0.0,0.0
2013,IND,5,0,11,1,1.0,1.0
2013,JAX,12,0,4,1,0.0,0.0
2013,KC,5,0,11,1,1.0,0.0
2013,MIA,8,0,8,1,0.0,0.0
2013,MIN,10,1,5,1,0.0,0.0
2013,NE,4,0,12,1,1.0,1.0
2013,NO,5,0,11,1,1.0,1.0
2013,NYG,9,0,7,1,0.0,0.0
2013,NYJ,8,0,8,0,0.0,0.0
2013,OAK,12,0,4,1,0.0,0.0
2013,PHI,6,0,10,1,1.0,0.0
2013,PIT,8,0,8,1,0.0,0.0
2013,SD,7,0,9,1,1.0,1.0
2013,SEA,3,0,13,1,0.0,3.0
2013,SF,4,0,12,1,1.0,2.0
2013,STL,9,0,7,0,0.0,0.0
2013,TB,12,0,4,1,0.0,0.0
2013,TEN,9,0,7,1,0.0,0.0
2013,WAS,13,0,3,1,0.0,0.0
2014,ARI,5,0,11,1,1.0,0.0
2014,ATL,10,0,6,1,0.0,0.0
2014,BAL,6,0,10,1,1.0,1.0
2014,BUF,7,0,9,1,0.0,0.0
2014,CAR,8,1,7,1,1.0,1.0
2014,CHI,11,0,5,1,0.0,0.0
2014,CIN,5,1,10,1,1.0,0.0
2014,CLE,9,0,7,1,0.0,0.0
2014,DAL,4,0,12,1,1.0,1.0
2014,DEN,4,0,12,1,1.0,0.0
2014,DET,5,0,11,1,1.0,0.0
2014,GB,4,0,12,1,1.0,1.0
2014,HOU,7,0,9,1,0.0,0.0
2014,IND,5,0,11,1,1.0,2.0
2014,JAX,13,0,3,1,0.0,0.0
2014,KC,7,0,9,1,0.0,0.0
2014,MIA,8,0,8,1,0.0,0.0
2014,MIN,9,0,7,1,0.0,0.0
2014,NE,4,0,12,1,0.0,3.0
2014,NO,9,0,7,1,0.0,0.0
2014,NYG,10,0,6,1,0.0,0.0
2014,NYJ,12,0,4,0,0.0,0.0
2014,OAK,13,0,3,1,0.0,0.0
2014,PHI,6,0,10,1,0.0,0.0
2014,PIT,5,0,11,1,1.0,0.0
2014,SD,7,0,9,1,0.0,0.0
2014,SEA,4,0,12,1,1.0,2.0
2014,SF,8,0,8,1,0.0,0.0
2014,STL,10,0,6,0,0.0,0.0
2014,TB,14,0,2,1,0.0,0.0
