team,offense_epa_per_play,defense_epa_per_play,season,team_full_name,Year,Team,GINI,GINI_gini30,GINI_gini40,GINI_gini50
ARI,-0.029795967,-0.07485894,2013,Arizona Cardinals,2013,Arizona Cardinals,0.3631997540692038,0.4355527540766465,0.4922547298241225,0.5301956329132866
ATL,0.009676399,0.09134392,2013,Atlanta Falcons,2013,Atlanta Falcons,0.37388725567682,0.4875229604732599,0.5357257822395257,0.5663571976875954
BAL,-0.04215765,-0.021308837,2013,Baltimore Ravens,2013,Baltimore Ravens,0.3903267441926297,0.4818468683640833,0.5351119801997838,0.5672196845421914
BUF,-0.062391963,-0.03173204,2013,Buffalo Bills,2013,Buffalo Bills,0.3281915934806654,0.4509268126709172,0.5153013363480922,0.5607062767123282
CAR,0.044461083,-0.040667616,2013,Carolina Panthers,2013,Carolina Panthers,0.3750224998920464,0.4518799299408318,0.4841382354099896,0.5112477468567479
CHI,0.0583911,0.086091354,2013,Chicago Bears,2013,Chicago Bears,0.4267127508233586,0.5010738539251548,0.5480349944139787,0.5827161126904522
CIN,0.0127836075,-0.064634055,2013,Cincinnati Bengals,2013,Cincinnati Bengals,0.3257394012341211,0.4208719317509382,0.4799759948035493,0.5297166721705713
CLE,-0.06259526,0.011719812,2013,Cleveland Browns,2013,Cleveland Browns,0.4751416948132102,0.5481785126440235,0.5829704725332947,0.6254290824126619
DAL,0.05895469,0.04481325,2013,Dallas Cowboys,2013,Dallas Cowboys,0.3589633483294489,0.4563006981254114,0.4991942038724541,0.5479238793506639
DEN,0.1499558,0.038280953,2013,Denver Broncos,2013,Denver Broncos,0.3874765452899222,0.4271271524505758,0.4813870924347406,0.5193135866729083
DET,0.0015573903,-0.009404594,2013,Detroit Lions,2013,Detroit Lions,0.4626785198978509,0.5228366227708205,0.5582597030504918,0.5979606281756539
GB,0.05548289,0.0674035,2013,Green Bay Packers,2013,Green Bay Packers,0.346396241105707,0.4453008105935054,0.5113212754107137,0.5591453236801996
HOU,-0.09996421,0.020919109,2013,Houston Texans,2013,Houston Texans,0.5093475696313217,0.5567262331603237,0.5786355289323739,0.6272188997144839
IND,0.049267296,0.022643946,2013,Indianapolis Colts,2013,Indianapolis Colts,0.2891293812618605,0.4007467261901575,0.4807625020220814,0.5466522422806698
JAX,-0.10250749,0.051082738,2013,Jacksonville Jaguars,2013,Jacksonville Jaguars,0.457522117963661,0.5312320918372895,0.5604034514160833,0.619770203886267
KC,0.052453578,-0.04160802,2013,Kansas City Chiefs,2013,Kansas City Chiefs,0.3940289159332243,0.4930043606483009,0.5533445135347715,0.5941203979739577
LAC,0.11978044,0.0778873,2013,Los Angeles Chargers,2013,Los Angeles Chargers,0.3865174171579814,0.4656847761376925,0.5116436818841499,0.5496963755589624
LV,-0.057481393,0.04820527,2013,Las Vegas Raiders,2013,Las Vegas Raiders,0.3611320762972901,0.4123342133670658,0.4395773475600322,0.4619475862685343
MIA,-0.020247376,0.0005627204,2013,Miami Dolphins,2013,Miami Dolphins,0.2938680599552052,0.4022516078102984,0.4650893736723223,0.5192744435548632
MIN,0.011500542,0.07609094,2013,Minnesota Vikings,2013,Minnesota Vikings,0.3923156600483412,0.47265214835041,0.5343453330263211,0.5785442346180942
NE,0.08093152,0.005905716,2013,New England Patriots,2013,New England Patriots,0.4331866460752207,0.5060491676000489,0.5399928544936783,0.5730482839913621
NO,0.06529576,-0.011094383,2013,New Orleans Saints,2013,New Orleans Saints,0.3263170764642006,0.4279458111308783,0.4957506609336451,0.5409227872929543
NYG,-0.111967415,-0.035558008,2013,New York Giants,2013,New York Giants,0.4744550332789414,0.5422515318866047,0.5656475996756687,0.5858274889956875
NYJ,-0.07225693,0.006647165,2013,New York Jets,2013,New York Jets,0.4938633846832515,0.5461557535545348,0.5623763179847955,0.5784770888274035
PHI,0.066952735,0.024815409,2013,Philadelphia Eagles,2013,Philadelphia Eagles,0.3521576400948373,0.4673424796768339,0.5265175365742241,0.5618649773635409
PIT,0.005825324,-0.00024125757,2013,Pittsburgh Steelers,2013,Pittsburgh Steelers,0.4109037625727622,0.4989883335885616,0.5427644888651921,0.5756449318905777
SEA,0.043937627,-0.1179328,2013,Seattle Seahawks,2013,Seattle Seahawks,0.3550277973337278,0.4736144905103977,0.5235677795163269,0.5569233186163983
TB,-0.06895342,0.01410815,2013,Tampa Bay Buccaneers,2013,Tampa Bay Buccaneers,0.4748854153681383,0.5482238850788461,0.593293614040392,0.6419813439866818
TEN,0.010753044,0.030265817,2013,Tennessee Titans,2013,Tennessee Titans,0.3024476421767453,0.3838109433234534,0.457812585003182,0.5135901866062031
WAS,-0.07239588,0.041998263,2013,Washington Commanders,2013,Washington Commanders,0.3214528770822459,0.4057554361744924,0.4672738277697383,0.5074165486642224
ARI,-0.078201704,-0.08335109,2014,Arizona Cardinals,2014,Arizona Cardinals,0.3761236025053152,0.4620804064784201,0.5140437823732568,0.5553415199450166
ATL,0.008766276,0.04016862,2014,Atlanta Falcons,2014,Atlanta Falcons,0.3511972463030245,0.4721070188114539,0.5282644535317084,0.5608716724937666
BAL,0.0669049,-0.025662022,2014,Baltimore Ravens,2014,Baltimore Ravens,0.4759191921198196,0.5509904121957637,0.5883805026485976,0.6433505091032788
BUF,-0.06616805,-0.112045616,2014,Buffalo Bills,2014,Buffalo Bills,0.3208026316365873,0.431372956539764,0.50109655958941,0.5463598577305706
CAR,-0.04163727,-0.023386907,2014,Carolina Panthers,2014,Carolina Panthers,0.3977678379096143,0.4836733533038645,0.5310559628953329,0.5690240094937503
CHI,-0.05569785,0.049992066,2014,Chicago Bears,2014,Chicago Bears,0.5018058626427646,0.5651174589852129,0.5922552538253792,0.6364302676967096
CIN,-0.022608992,-0.023578221,2014,Cincinnati Bengals,2014,Cincinnati Bengals,0.3106520934928207,0.4103306353983865,0.4824914010109529,0.5312291106111194
