team,offense_epa_per_play,defense_epa_per_play,season
ARI,-0.029795967,-0.07485894,2013
ATL,0.009676399,0.09134392,2013
BAL,-0.04215765,-0.021308837,2013
BUF,-0.062391963,-0.03173204,2013
CAR,0.044461083,-0.040667616,2013
CHI,0.0583911,0.086091354,2013
CIN,0.0127836075,-0.064634055,2013
CLE,-0.06259526,0.011719812,2013
DAL,0.05895469,0.04481325,2013
DEN,0.1499558,0.038280953,2013
DET,0.0015573903,-0.009404594,2013
GB,0.05548289,0.0674035,2013
HOU,-0.09996421,0.020919109,2013
IND,0.049267296,0.022643946,2013
JAX,-0.10250749,0.051082738,2013
KC,0.052453578,-0.04160802,2013
LA,-0.03883291,-0.02696055,2013
LAC,0.11978044,0.0778873,2013
LV,-0.057481393,0.04820527,2013
MIA,-0.020247376,0.0005627204,2013
MIN,0.011500542,0.07609094,2013
NE,0.08093152,0.005905716,2013
NO,0.06529576,-0.011094383,2013
NYG,-0.111967415,-0.035558008,2013
NYJ,-0.07225693,0.006647165,2013
PHI,0.066952735,0.024815409,2013
PIT,0.005825324,-0.00024125757,2013
SEA,0.043937627,-0.1179328,2013
SF,0.045645468,-0.06303378,2013
TB,-0.06895342,0.01410815,2013
TEN,0.010753044,0.030265817,2013
WAS,-0.07239588,0.041998263,2013
ARI,-0.078201704,-0.08335109,2014
ATL,0.008766276,0.04016862,2014
BAL,0.0669049,-0.025662022,2014
BUF,-0.06616805,-0.112045616,2014
CAR,-0.04163727,-0.023386907,2014
CHI,-0.05569785,0.049992066,2014
CIN,-0.022608992,-0.023578221,2014
CLE,-0.079766825,-0.045216613,2014
DAL,0.08437508,-0.0049575176,2014
DEN,0.041253634,-0.042897426,2014
DET,-0.05368806,-0.07918909,2014
GB,0.08129531,-0.023256956,2014
HOU,-0.04626793,-0.10072489,2014
IND,0.019905314,-0.039343964,2014
JAX,-0.14119792,-0.0031552997,2014
KC,0.027655156,-0.031738985,2014
LA,-0.10286908,-0.071021825,2014
LAC,-0.0044215275,0.00089769595,2014
LV,-0.15105447,0.014408619,2014
MIA,-0.0088247955,-0.01756051,2014
MIN,-0.041235805,-0.02499757,2014
NE,0.08598442,-0.043868974,2014
NO,0.045574576,0.07644856,2014
NYG,-0.027973998,-0.011919831,2014
NYJ,-0.063998215,0.028183876,2014
PHI,-0.014510743,-0.06892328,2014
PIT,0.06931466,0.036305513,2014
SEA,0.028726319,-0.08048417,2014
SF,-0.047200426,-0.022087924,2014
TB,-0.10384797,0.009112843,2014
TEN,-0.10610287,0.052646123,2014
WAS,-0.057419363,0.05447196,2014
ARI,0.05918692,-0.05075498,2015
ATL,-0.015870603,-0.009479274,2015
BAL,-0.042881154,0.014549082,2015
BUF,0.011405614,-0.0015801109,2015
CAR,0.047778554,-0.101333976,2015
CHI,-0.011652065,0.037411485,2015
CIN,0.035388783,-0.071465544,2015
CLE,-0.08289456,0.04290202,2015
DAL,-0.056438994,0.031961754,2015
DEN,-0.066707075,-0.11423083,2015
DET,-0.014925449,0.03062061,2015
GB,0.014454342,-0.03382682,2015
HOU,-0.07588785,-0.078865305,2015
IND,-0.06993885,-0.012436617,2015
JAX,-0.04530358,0.007712543,2015
KC,0.039130922,-0.07501814,2015
LA,-0.13536096,-0.073744014,2015
LAC,-0.023495464,0.04207262,2015
LV,-0.024921734,0.009252671,2015
MIA,-0.04424003,0.018440383,2015
MIN,0.013123296,-0.03799664,2015
NE,0.06049314,-0.05204169,2015
NO,0.027431773,0.09241229,2015
NYG,0.03137594,0.04613113,2015
NYJ,-0.018548127,-0.077520005,2015
PHI,-0.040418293,0.0012942342,2015
PIT,0.017999975,-0.054988466,2015
SEA,0.051334623,-0.0594704,2015
SF,-0.08640177,0.036753353,2015
TB,-0.027510073,0.03173953,2015
TEN,-0.08745938,0.020357989,2015
WAS,0.005603869,0.012876422,2015
ARI,-0.037411876,-0.083450615,2016
ATL,0.15510124,0.023382122,2016
BAL,-0.035531636,-0.06213542,2016
BUF,0.008842112,-0.0046594655,2016
CAR,-0.050872408,-0.027315455,2016
CHI,-0.06822297,0.041038316,2016
CIN,0.015777174,0.008325444,2016
CLE,-0.07126698,0.08666452,2016
DAL,0.08547472,-0.008199354,2016
DEN,-0.06476396,-0.0894819,2016
DET,0.024601525,0.055345275,2016
GB,0.08736324,0.05628842,2016
HOU,-0.11415245,-0.08107239,2016
IND,0.046239085,0.03092788,2016
JAX,-0.05461109,0.0072038025,2016
KC,0.0064507956,-0.049522478,2016
LA,-0.15623476,-0.004408281,2016
LAC,-0.019700123,-0.013441461,2016
LV,0.002868101,-0.008350476,2016
MIA,-0.03821862,-0.0024932846,2016
MIN,-0.05469075,-0.07964757,2016
NE,0.093628235,-0.07019219,2016
NO,0.048303865,0.052447435,2016
NYG,-0.07370731,-0.06307682,2016
NYJ,-0.09580435,0.018226992,2016
PHI,-0.012903096,-0.046664033,2016
PIT,0.048789553,-0.003369276,2016
SEA,0.003306417,-0.057040904,2016
SF,-0.09215788,0.053680457,2016
TB,-0.028527481,-0.019404797,2016
TEN,0.0045566345,0.0042179315,2016
WAS,0.05759732,0.042384524,2016
ARI,-0.12677531,-0.0817951,2017
ATL,0.033757683,-0.010834712,2017
BAL,-0.027005563,-0.108826794,2017
BUF,-0.065942876,-0.014567413,2017
CAR,-0.014371476,-0.044415783,2017
CHI,-0.10538857,-0.04790596,2017
CIN,-0.101036526,-0.032997824,2017
CLE,-0.13620003,0.01741966,2017
DAL,-0.004331497,-0.023423566,2017
DEN,-0.12792565,-0.05753634,2017
DET,-0.05873572,-0.08535152,2017
GB,-0.037594695,0.02214442,2017
HOU,-0.058701567,0.022035113,2017
IND,-0.081161514,0.0391224,2017
JAX,-0.0027664038,-0.121921,2017
KC,0.06316329,-0.0047961064,2017
LA,0.045924436,-0.067589276,2017
LAC,0.013726027,-0.05898737,2017
LV,-0.032225322,0.038586956,2017
MIA,-0.11087622,-0.010884296,2017
MIN,-0.012030865,-0.096443996,2017
NE,0.12667333,0.010080802,2017
NO,0.0652241,-0.026883168,2017
NYG,-0.13817473,-0.01631891,2017
NYJ,-0.07640462,-0.006057703,2017
PHI,0.06468516,-0.08304064,2017
PIT,0.04847433,-0.021449687,2017
SEA,-0.039855316,-0.058634344,2017
SF,-0.034905974,0.0092594735,2017
TB,-0.019039286,0.019623457,2017
TEN,-0.039603196,-0.0057377815,2017
WAS,-0.08636083,-0.04252692,2017
ARI,-0.2123767,-0.02024215,2018
ATL,0.055338215,0.06318725,2018
BAL,-0.004595807,-0.08381963,2018
BUF,-0.15865023,-0.077697076,2018
CAR,0.03745924,0.0442569,2018
CHI,-0.0054781693,-0.12012845,2018
CIN,-0.008605288,0.06480474,2018
CLE,-0.0507383,-0.01713902,2018
DAL,-0.01674972,-0.021795886,2018
DEN,-0.04274792,-0.022588613,2018
DET,-0.04951595,-0.019261722,2018
